X,Y,OBJECTID,CNES,NOME,CAP,EQUIPES,ENDERECO,BAIRRO,TELEFONE,EMAIL,HORARIO_SEMANA,HORARIO_SABADO,TIPO_ABC,TIPO_UNIDADE,DATA_INAUGURACAO,Flg_Ativo,CNES_,GlobalID
-4816636.2158,-2615672.4662,691,3784975,SMS CF ZILDA ARNS - AP 31,31,29 - COMPLEXO DO ALEMAO,"ESTRADA ITARARE, 951",COMPLEXO DO ALEMAO,(21)2290-5089,cfzildaarns@vivario.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2010/04/06 03:00:00+00,,3784975,9c6bf7ca-d980-40ca-ab69-005d3efd87ae
-4808179.3351,-2625970.6278,692,6272053,SMS CF SANTA MARTA - AP 21,21,4 - BOTAFOGO,"RUA SAO CLEMENTE, 312",BOTAFOGO,22862374,sfsantamarta@vivario.org.br,8 às 17h,-,A,CLINICA DA FAMILIA,2009/02/03 02:00:00+00,,6272053,ba99dd75-e3b4-4e89-b729-0081372ba64f
-4820440.1672,-2620262.2143,693,5346320,SMS CAPS CLARICE LISPECTOR - AP 32,32,13 - MEIER,"RUA DOIS DE FEVEREIRO, 785",ENCANTADO,31117490,smdcscapsclaricelispector@gmail.com,8 às 17h,-,-,CAPS,2005/05/23 03:00:00+00,,5346320,9af57d52-d689-4797-ac9b-01484a52f9b6
-4861192.4763,-2618126.9348,694,2273551,SMS CMS ALOYSIO AMANCIO DA SILVA - AP 53,53,19 - SANTA CRUZ,"ESTRADA DO CURTUME, S/N",SANTA CRUZ,(21)33054894,cmsaas.cap53@gmail.com,7 às 18h,7 às 12h,B,CMS,1988/06/04 03:00:00+00,,2273551,905b0f5f-d3b3-4eaa-96e7-019eb25e689f
-4807858.731,-2620930.1859,695,2280183,SMS RIO HOSPITAL MUNICIPAL SOUZA AGUIAR,10,2 - CENTRO,"PRACA DA REPUBLICA, 111",CENTRO, , ,24h,24h,-,HOSPITAL,1907/11/07 02:00:00+00,,2280183,be4e343d-9f3f-4a47-97ba-036dcdaed294
-4848912.3829,-2622181.7651,696,2708388,SMS CAPS PEDRO PELLEGRINO - AP 52,52,18 - CAMPO GRANDE,"PRACA MAJOR VIEIRA DE MELO, 10",CAMPO GRANDE,(21)33942583,capppellegrino@rio.rj.gov.br,8 às 17h,-,-,CAPS,1997/01/13 02:00:00+00,,2708388,785e1e7a-ca63-4d9a-be9d-03eef68d2488
-4846268.1826,-2619819.658,697,7723296,SMS CF EVERTON DE SOUZA SANTOS - AP 52,52,18 - CAMPO GRANDE,"ESTRADA DE MORICABA, S/N",SENADOR VASCONCELOS,(21) 3364-7596,ger.ess.cap52@iabas.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2015/05/23 03:00:00+00,,7723296,c1f94fd3-8a88-4f04-8548-0463063fe658
-4841114.323,-2619226.4024,698,6864708,SMS CF MARIO DIAS ALENCAR - AP 51,51,17 - BANGU,"RUA MUCURIPE, S/N",BANGU,3424-8997,cfmariodalencar@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2012/01/13 02:00:00+00,,6864708,05a267f7-4c71-4324-be84-05c806ab967d
-4821218.4014,-2618941.4428,699,2269481,SMS HOSPITAL MUNICIPAL DA PIEDADE - AP 32,32,13 - MEIER,"RUA DA CAPELA, 96",PIEDADE,(21)31116540,hmpiedade@rio.rj.gov.br,24h,24h,-,HOSPITAL,1977/11/17 02:00:00+00,,2269481,9a546e20-17fd-4307-bc70-07411b972e42
-4819407.3857,-2618482.2608,700,2269503,SMS CMS EDUARDO A VILHENA - AP 32,32,13 - MEIER,"RUA JOSE DOS REIS, 951",PILARES,(21) 3111-6693,esfeavleite@gmail.com,7 às 18h,8 às 12h,C,CMS,1987/11/28 02:00:00+00,,2269503,c5a99d02-cb6a-4fb2-ac67-0755e8fa74f0
