,Algoritmo,Métrica,Valor
0,RedeNeural,MAE,5609.837284856118
1,RedeNeural,MAE,5611.144108905242
2,RedeNeural,MAE,5611.733391482813
3,RedeNeural,MAE,5612.941383629178
4,RedeNeural,MAE,5612.858661307166
5,RedeNeural,MAE,5612.6229308520515
6,RedeNeural,MAE,5613.411019565968
7,RedeNeural,MAE,5613.775598007899
8,RedeNeural,MAE,5612.851657038698
9,RedeNeural,MAE,5609.297675941999
10,RedeNeural,MAE,5607.933241206866
11,RedeNeural,MAE,5609.056206354728
12,RedeNeural,MAE,5610.184139535404
13,RedeNeural,MAE,5610.327946465391
14,RedeNeural,MAE,5610.221984806829
15,RedeNeural,MAE,5609.553850421538
16,RedeNeural,MAE,5609.5911103487015
17,RedeNeural,MAE,5610.402740052114
18,RedeNeural,MAE,5601.573128592509
19,RedeNeural,MAE,5603.501980967247
20,RedeNeural,MAE,5603.548675718216
21,RedeNeural,MAE,5606.307270116531
22,RedeNeural,MAE,5606.330567994513
23,RedeNeural,MAE,5605.2687643154595
24,RedeNeural,MAE,5605.449032884378
25,RedeNeural,MAE,5605.815083865936
26,RedeNeural,MAE,5604.724934215729
27,RedeNeural,MAE,5599.956299112393
28,RedeNeural,MAE,5599.911292786782
29,RedeNeural,MAE,5595.568809665167
30,RedeNeural,MAE,5607.997138246321
31,RedeNeural,MAE,5607.769789263606
32,RedeNeural,MAE,5609.116089144578
33,RedeNeural,MAE,5610.922787487507
34,RedeNeural,MAE,5611.22485002646
35,RedeNeural,MAE,5608.690886332439
36,RedeNeural,MAE,5504.074304544009
37,RedeNeural,MAE,5507.920475116143
38,RedeNeural,MAE,5524.414116529318
39,RedeNeural,MAE,5598.832287293214
40,RedeNeural,MAE,5599.357352155906
41,RedeNeural,MAE,5598.071563069637
42,RedeNeural,MAE,5604.240386247635
43,RedeNeural,MAE,5605.643369995631
44,RedeNeural,MAE,5606.763748517404
45,RedeNeural,MAE,5260.509497825916
46,RedeNeural,MAE,5236.954330517696
47,RedeNeural,MAE,5253.568175425897
48,RedeNeural,MAE,5583.8103817242845
49,RedeNeural,MAE,5582.60265827179
50,RedeNeural,MAE,5582.659484093006
51,RedeNeural,MAE,5599.11249259802
52,RedeNeural,MAE,5599.062967850612
53,RedeNeural,MAE,5598.328851369711
54,RedeNeural,MAE,5409.245407618009
55,RedeNeural,MAE,5439.395142867015
56,RedeNeural,MAE,5533.944484747373
57,RedeNeural,MAE,5604.32621225944
58,RedeNeural,MAE,5605.379071795023
59,RedeNeural,MAE,5606.417848573281
60,RedeNeural,MAE,5609.560565008567
61,RedeNeural,MAE,5611.022540963613
62,RedeNeural,MAE,5613.102557672904
