,Algoritmo,Métrica,Valor
0,RedeNeural,MAE,814318.0192146667
1,RedeNeural,MAE,814312.4988501082
2,RedeNeural,MAE,814314.0103778128
3,RedeNeural,MAE,814318.4458845467
4,RedeNeural,MAE,814318.666366048
5,RedeNeural,MAE,814318.6171687734
6,RedeNeural,MAE,814322.3525829106
7,RedeNeural,MAE,814322.4336262387
8,RedeNeural,MAE,814321.6414234972
9,RedeNeural,MAE,814299.7159154791
10,RedeNeural,MAE,814305.7936320744
11,RedeNeural,MAE,814306.0111499471
12,RedeNeural,MAE,814308.0089926323
13,RedeNeural,MAE,814307.6796728142
14,RedeNeural,MAE,814309.6510047651
15,RedeNeural,MAE,814314.750754369
16,RedeNeural,MAE,814314.0110463217
17,RedeNeural,MAE,814316.2457764965
18,RedeNeural,MAE,814267.4626373095
19,RedeNeural,MAE,814271.2597018094
20,RedeNeural,MAE,814265.0383788954
21,RedeNeural,MAE,814288.566180982
22,RedeNeural,MAE,814287.7254837563
23,RedeNeural,MAE,814287.4417008936
24,RedeNeural,MAE,814304.9323834787
25,RedeNeural,MAE,814299.4237377016
26,RedeNeural,MAE,814299.2709832108
27,RedeNeural,MAE,814110.8010953937
28,RedeNeural,MAE,814042.5263801374
29,RedeNeural,MAE,814147.5818674982
30,RedeNeural,MAE,814312.5272687778
31,RedeNeural,MAE,814311.6103424692
32,RedeNeural,MAE,814312.5855975904
33,RedeNeural,MAE,814322.2392749075
34,RedeNeural,MAE,814321.3014295101
35,RedeNeural,MAE,814322.4350752768
36,RedeNeural,MAE,813148.154445916
37,RedeNeural,MAE,813611.5045177393
38,RedeNeural,MAE,813250.7005155463
39,RedeNeural,MAE,814298.7674574768
40,RedeNeural,MAE,814298.8359646295
41,RedeNeural,MAE,814299.7022088034
42,RedeNeural,MAE,814310.6692629278
43,RedeNeural,MAE,814313.9943095341
44,RedeNeural,MAE,814312.8305879559
45,RedeNeural,MAE,809824.9900931643
46,RedeNeural,MAE,810043.4013992443
47,RedeNeural,MAE,810095.6787971363
48,RedeNeural,MAE,814273.2353897596
49,RedeNeural,MAE,814275.0286612929
50,RedeNeural,MAE,814275.551573402
51,RedeNeural,MAE,814296.9700194242
52,RedeNeural,MAE,814293.009062834
53,RedeNeural,MAE,814298.9498194226
54,RedeNeural,MAE,808297.133147658
55,RedeNeural,MAE,809216.0482391893
56,RedeNeural,MAE,810227.4177768105
57,RedeNeural,MAE,814311.5978743654
58,RedeNeural,MAE,814311.4328914274
59,RedeNeural,MAE,814313.2955365767
60,RedeNeural,MAE,814319.3242760123
